number,value,datetime_start,datetime_complete,duration,params_class_weight,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc_auc,state
0,0.8150198631173063,2026-05-31 14:35:45.179529,2026-05-31 14:36:04.928251,0 days 00:00:19.748722,,0.7243186887373967,0.13125830316209655,10,180,0.3042422429595377,900,192,4.329370014459266e-07,4.4734294104626844e-07,0.9413549242801476,0.8676156899897135,0.8150198631173063,0.8470462713325686,0.7853462431345903,0.9419830999122096,COMPLETE
1,0.8039084483390546,2026-05-31 14:36:04.967954,2026-05-31 14:36:25.378145,0 days 00:00:20.410191,,0.6727680575448478,0.05243180891902853,8,110,0.8083973481164611,800,48,3.4671276804481113,4.905556676028774,0.7096834432905521,0.861128940983004,0.8039084483390546,0.8451137472030736,0.7665477606024574,0.9358141068355893,COMPLETE
2,0.805669191425943,2026-05-31 14:36:25.400495,2026-05-31 14:36:45.064529,0 days 00:00:19.664034,,0.9212964881763901,0.03293513898890987,6,40,0.5978999788110851,1500,40,2.854239907497756,1.1309571585271483,0.9893546197175955,0.8616546108073916,0.805669191425943,0.8421186364283324,0.7722665760715701,0.9361649041936948,COMPLETE
3,0.7884098668258522,2026-05-31 14:36:45.083804,2026-05-31 14:36:58.304652,0 days 00:00:13.220848,balanced,0.9202856692538302,0.011302939920362371,6,20,0.8154614284548342,600,96,6.143857495033091e-07,1.1212412169964432e-08,0.9954104278101811,0.8377787513220865,0.7884098668258522,0.764493176365506,0.8138836985448163,0.9248281460511723,COMPLETE
4,0.798327513768569,2026-05-31 14:36:58.323239,2026-05-31 14:37:22.901276,0 days 00:00:24.578037,balanced,0.8152752238066823,0.012220339394068061,4,120,0.7607850486168974,1600,104,1.1921975182604538e-07,0.02625445968759339,0.9605244599017143,0.8436662476517727,0.798327513768569,0.7662294086632649,0.8332484004303268,0.9295146074493545,COMPLETE
5,0.8240959869326582,2026-05-31 14:37:22.925990,2026-05-31 14:38:09.444984,0 days 00:00:46.518994,,0.7300793579220679,0.0411890249732573,14,80,0.16122128725400442,1100,120,4.929685216887945e-08,4.052873758065144e-06,0.914442898490067,0.8735872714865786,0.8240959869326582,0.8526482821337781,0.797406715361531,0.9458368517706082,COMPLETE
6,0.8189841101526225,2026-05-31 14:38:09.471193,2026-05-31 14:38:29.326565,0 days 00:00:19.855372,,0.9512557041397203,0.1059051751308571,10,80,0.417411003148779,1400,208,1.1549659339590204e-08,0.00039511700681839584,0.9363051680728727,0.8702440278373809,0.8189841101526225,0.8496652881736813,0.7904422173149879,0.9436377516860673,COMPLETE
7,0.8214386523825574,2026-05-31 14:38:29.347723,2026-05-31 14:38:57.615786,0 days 00:00:28.268063,,0.8633475168929639,0.12851323643357537,8,60,0.27864646423661144,900,96,0.0003342806277473177,2.906088000706637e-08,0.6629104315740865,0.8708748345446923,0.8214386523825574,0.8443090386034395,0.7997848366457165,0.942496066008771,COMPLETE
8,0.8124122831505955,2026-05-31 14:38:57.646356,2026-05-31 14:39:10.369566,0 days 00:00:12.723210,balanced,0.9423558734562333,0.03763926317321749,6,100,0.040775141554763916,500,256,7.709400093120135e-06,4.771628167351996e-07,0.681601419519043,0.8549050333546142,0.8124122831505955,0.7813432014352503,0.846073268784327,0.9380193170354448,COMPLETE
9,0.8071313820184622,2026-05-31 14:39:10.391376,2026-05-31 14:39:21.695552,0 days 00:00:11.304176,,0.7402795697003045,0.040019178531852884,10,170,0.5552008115994623,300,72,0.008706756810730947,0.2264643274129281,0.9570687736833434,0.8634103386897293,0.8071313820184622,0.8484927181791745,0.7696336560783648,0.9380981254124073,COMPLETE
10,0.827291092211996,2026-05-31 14:39:21.717195,2026-05-31 14:41:05.151746,0 days 00:01:43.434551,balanced,0.7943739172642001,0.06912418901831752,14,140,0.012311169564937496,2000,144,3.404677878190553e-05,9.8772669960681e-05,0.847724438118725,0.8710850980310584,0.827291092211996,0.8231962409024041,0.8314364984995186,0.9445239276190273,COMPLETE
11,0.8250017988986335,2026-05-31 14:41:05.180884,2026-05-31 14:42:36.572824,0 days 00:01:31.391940,balanced,0.7891247007616717,0.06956809991431485,14,140,0.06058447424501824,2000,152,4.077156737293246e-05,3.078561519283311e-05,0.8484593945871591,0.8691190990356423,0.8250017988986335,0.8193371624577438,0.8307570352754657,0.9437103213221163,COMPLETE
12,0.8274306236073145,2026-05-31 14:42:36.587575,2026-05-31 14:43:55.215654,0 days 00:01:18.628079,balanced,0.7971764563279595,0.07164184364231801,14,140,0.004526047818687359,2000,160,0.00012849617790740154,0.00020130017124212726,0.8243938548735952,0.8714846187167234,0.8274306236073145,0.8252308150187578,0.8296529075363797,0.944703233507581,COMPLETE
13,0.8230616993374217,2026-05-31 14:43:55.242109,2026-05-31 14:45:03.942890,0 days 00:01:08.700781,balanced,0.857782397858081,0.07395534292940058,-1,150,0.18796720634018882,2000,160,0.004783646643245595,0.0008538828365286069,0.7784161216904628,0.867352855574914,0.8230616993374217,0.8154812719884744,0.8307853462431346,0.9425339512775791,COMPLETE
14,0.8167012364971251,2026-05-31 14:45:03.957748,2026-05-31 14:45:31.133246,0 days 00:00:27.175498,balanced,0.7772685746916635,0.0215478174181853,14,140,0.9772664655950779,1800,176,0.00266607574673308,0.006253862738283622,0.8417982234979593,0.8590683316257289,0.8167012364971251,0.7898985987632532,0.845422116527943,0.940360005675036,COMPLETE
15,0.8267199239081919,2026-05-31 14:45:31.155288,2026-05-31 14:46:27.233752,0 days 00:00:56.078464,balanced,0.8671513929760117,0.08099809739025919,12,160,0.00264458094853907,1700,232,0.09603376914630732,3.258910886311095e-05,0.7819461886306869,0.8700653067754364,0.8267199239081919,0.8189359934086854,0.8346639488137705,0.9441832729073959,COMPLETE
